Code;Libellé;Médiane du revenu disponible par UC 2020
2282;Eppes;20590
2283;Erlon;19900
2284;Erloy;N/A - résultat non disponible
2286;Esquéhéries;20540
2287;Essigny-le-Grand;24610
2288;Essigny-le-Petit;20610
2289;Essises;23550
2290;Essômes-sur-Marne;23180
2291;Estrées;22170
2292;Étampes-sur-Marne;21390
2293;Étaves-et-Bocquiaux;20950
2294;Étouvelles;23060
2295;Étréaupont;18270
2296;Étreillers;22730
2297;Étrépilly;22350
2298;Étreux;19500
2299;Évergnicourt;21460
2302;Faverolles;23690
2303;Fayet;32520
2304;La Fère;15660
2305;Fère-en-Tardenois;18960
2306;La Ferté-Chevresis;19220
2307;La Ferté-Milon;22320
2308;Fesmy-le-Sart;19200
2309;Festieux;20630
2310;Fieulaine;22580
2311;Filain;21800
2312;La Flamengrie;20120
2313;Flavigny-le-Grand-et-Beaurain;21660
2315;Flavy-le-Martel;21350
2316;Fleury;25620
2317;Fluquières;25570
2318;Folembray;19510
2319;Fonsomme;19260
2320;Fontaine-lès-Clercs;25320
2321;Fontaine-lès-Vervins;21130
2322;Fontaine-Notre-Dame;24490
2323;Fontaine-Uterte;22470
2324;Fontenelle;21390
2326;Fontenoy;22190
2327;Foreste;19100
2328;Fossoy;24270
2329;Fourdrain;24080
2330;Francilly-Selency;26260
2331;Franqueville;19000
2332;Fresnes-en-Tardenois;21850
2333;Fresnes-sous-Coucy;20210
2334;Fresnoy-le-Grand;18600
2335;Fressancourt;20420
2336;Frières-Faillouël;22410
2337;Froidestrées;21020
2338;Froidmont-Cohartille;20550
2339;Gandelu;22000
2340;Gauchy;20340
2341;Gercy;22220
2342;Gergny;22630
2343;Germaine;20610
2345;Gibercourt;N/A - résultat non disponible
2346;Gizy;21050
2347;Gland;25050
2349;Goudelancourt-lès-Berrieux;N/A - résultat non disponible
2350;Goudelancourt-lès-Pierrepont;20310
2351;Goussancourt;24520
2352;Gouy;19380
2353;Grandlup-et-Fay;20750
2354;Grandrieux;N/A - résultat non disponible
2355;Gricourt;23680
2356;Grisolles;21030
2357;Gronard;N/A - résultat non disponible
2358;Grougis;19400
2359;Grugies;21540
2360;Villeneuve-sur-Aisne;22560
2361;Guise;17300
2362;Guivry;24430
2363;Guny;19080
2364;Guyencourt;24470
2366;Hannapes;18910
2367;Happencourt;21170
2368;Haramont;21950
2369;Harcigny;19060
2370;Hargicourt;21830
2371;Harly;20920
2372;Hartennes-et-Taux;22460
2373;Hary;22210
2374;Lehaucourt;20300
2375;Hautevesnes;22800
2376;Hauteville;20360
2377;Haution;19790
2378;La Hérie;18340
2379;Le Hérie-la-Viéville;20330
2380;Hinacourt;N/A - résultat non disponible
2381;Hirson;16280
2382;Holnon;23230
2383;Homblières;24170
2384;Houry;N/A - résultat non disponible
2385;Housset;18340
2386;Iron;19940
2387;Itancourt;24220
2388;Iviers;17980
2389;Jaulgonne;21720
2390;Jeancourt;22030
2391;Jeantes;19980
2392;Joncourt;22740
2393;Jouaignes;22730
2395;Jumencourt;21550
2396;Jumigny;N/A - résultat non disponible
2397;Jussy;20880
2398;Juvigny;21110
2399;Juvincourt-et-Damary;22360
2400;Laffaux;21820
2401;Laigny;22670
2402;Lanchy;N/A - résultat non disponible
2403;Landifay-et-Bertaignemont;19490
2404;Landouzy-la-Cour;20340
2405;Landouzy-la-Ville;20650
2406;Landricourt;24570
2407;Laniscourt;23210
2408;Laon;17580
2409;Lappion;19120
2410;Largny-sur-Automne;25590
2411;Latilly;21310
2412;Launoy;N/A - résultat non disponible
2413;Laval-en-Laonnois;23000
2414;Lavaqueresse;22000
2415;Laversine;25510
2416;Lemé;19520
2417;Lempire;19120
2418;Lerzy;21020
2419;Leschelle;24100
2420;Lesdins;24540
2421;Lesges;N/A - résultat non disponible
2422;Lesquielles-Saint-Germain;18860
2423;Leuilly-sous-Coucy;21580
